"","ST_CNTY_CODE","included_bc"
"1","37183","copperhead observations"
"2","51059","copperhead observations"
"3","24017","copperhead observations"
"4","20045","copperhead observations"
"5","29071","copperhead observations"
"6","17003","copperhead observations"
"7","47157","copperhead observations"
"8","17087","copperhead observations"
"9","18013","copperhead observations"
"10","17181","copperhead observations"
"11","39087","copperhead observations"
"12","29099","copperhead observations"
"13","42133","copperhead observations"
"14","54039","copperhead observations"
"15","54067","copperhead observations"
"16","51195","copperhead observations"
"17","29203","copperhead observations"
"18","17151","copperhead observations"
"19","51051","copperhead observations"
"20","34003","copperhead observations"
"21","42011","copperhead observations"
"22","42029","copperhead observations"
"23","42025","copperhead observations"
"24","37155","copperhead observations"
"25","5141","copperhead observations"
"26","47155","copperhead observations"
"27","29019","copperhead observations"
"28","47051","copperhead observations"
"29","29055","copperhead observations"
"30","22017","copperhead observations"
"31","51121","copperhead observations"
"32","17133","copperhead observations"
"33","17077","copperhead observations"
"34","37193","copperhead observations"
"35","17153","copperhead observations"
"36","37063","copperhead observations"
"37","37135","copperhead observations"
"38","22077","copperhead observations"
"39","22033","copperhead observations"
"40","28145","copperhead observations"
"41","5101","copperhead observations"
"42","47009","copperhead observations"
"43","37119","copperhead observations"
"44","29077","copperhead observations"
"45","29043","copperhead observations"
"46","37099","copperhead observations"
"47","37037","copperhead observations"
"48","51029","copperhead observations"
"49","47151","copperhead observations"
"50","36111","copperhead observations"
"51","24009","copperhead observations"
"52","36027","copperhead observations"
"53","21099","copperhead observations"
"54","42051","copperhead observations"
"55","21195","copperhead observations"
"56","21193","copperhead observations"
"57","24027","copperhead observations"
"58","48147","copperhead observations"
"59","37021","copperhead observations"
"60","28071","copperhead observations"
"61","40001","copperhead observations"
"62","45083","copperhead observations"
"63","54003","copperhead observations"
"64","37171","copperhead observations"
"65","37001","copperhead observations"
"66","24031","copperhead observations"
"67","51085","copperhead observations"
"68","51043","copperhead observations"
"69","51187","copperhead observations"
"70","37023","copperhead observations"
"71","47031","copperhead observations"
"72","28093","copperhead observations"
"73","37025","copperhead observations"
"74","42119","copperhead observations"
"75","1087","copperhead observations"
"76","47129","copperhead observations"
"77","48387","copperhead observations"
"78","5087","copperhead observations"
"79","39145","copperhead observations"
"80","5127","copperhead observations"
"81","29207","copperhead observations"
"82","51153","copperhead observations"
"83","5047","copperhead observations"
"84","45045","copperhead observations"
"85","20073","copperhead observations"
"86","51107","copperhead observations"
"87","47015","copperhead observations"
"88","5131","copperhead observations"
"89","45091","copperhead observations"
"90","37089","copperhead observations"
"91","47065","copperhead observations"
"92","51109","copperhead observations"
"93","51087","copperhead observations"
"94","47163","copperhead observations"
"95","47179","copperhead observations"
"96","47019","copperhead observations"
"97","51061","copperhead observations"
"98","20091","copperhead observations"
"99","21061","copperhead observations"
"100","22107","copperhead observations"
"101","5109","copperhead observations"
"102","51113","copperhead observations"
"103","13233","copperhead observations"
"104","29179","copperhead observations"
"105","24021","copperhead observations"
"106","21065","copperhead observations"
"107","1071","copperhead observations"
"108","21129","copperhead observations"
"109","5137","copperhead observations"
"110","18105","copperhead observations"
"111","37161","copperhead observations"
"112","37175","copperhead observations"
"113","51023","copperhead observations"
"114","47059","copperhead observations"
"115","5059","copperhead observations"
"116","42103","copperhead observations"
"117","29223","copperhead observations"
"118","42001","copperhead observations"
"119","17127","copperhead observations"
"120","45077","copperhead observations"
"121","54037","copperhead observations"
"122","5143","copperhead observations"
"123","1095","copperhead observations"
"124","29031","copperhead observations"
"125","39073","copperhead observations"
"126","21197","copperhead observations"
"127","51171","copperhead observations"
"128","34027","copperhead observations"
"129","54027","copperhead observations"
"130","1073","copperhead observations"
"131","47069","copperhead observations"
"132","13121","copperhead observations"
"133","40089","copperhead observations"
"134","17165","copperhead observations"
"135","21007","copperhead observations"
"136","22073","copperhead observations"
"137","22091","copperhead observations"
"138","1049","copperhead observations"
"139","48277","copperhead observations"
"140","37083","copperhead observations"
"141","11001","copperhead observations"
"142","1019","copperhead observations"
"143","39009","copperhead observations"
"144","5031","copperhead observations"
"145","21205","copperhead observations"
"146","51147","copperhead observations"
"147","36119","copperhead observations"
"148","54045","copperhead observations"
"149","51019","copperhead observations"
"150","47115","copperhead observations"
"151","9170","copperhead observations"
"152","51009","copperhead observations"
"153","51155","copperhead observations"
"154","51157","copperhead observations"
"155","54019","copperhead observations"
"156","29093","copperhead observations"
"157","29095","copperhead observations"
"158","13057","copperhead observations"
"159","24043","copperhead observations"
"160","47029","copperhead observations"
"161","51015","copperhead observations"
"162","45073","copperhead observations"
"163","13241","copperhead observations"
"164","47061","copperhead observations"
"165","42005","copperhead observations"
"166","42041","copperhead observations"
"167","51065","copperhead observations"
"168","13311","copperhead observations"
"169","13055","copperhead observations"
"170","51011","copperhead observations"
"171","5049","copperhead observations"
"172","13291","copperhead observations"
"173","5007","copperhead observations"
"174","21071","copperhead observations"
"175","21011","copperhead observations"
"176","29123","copperhead observations"
"177","28141","copperhead observations"
"178","29215","copperhead observations"
"179","13115","copperhead observations"
"180","22063","copperhead observations"
"181","42099","copperhead observations"
"182","47171","copperhead observations"
"183","47073","copperhead observations"
"184","37081","copperhead observations"
"185","34041","copperhead observations"
"186","42089","copperhead observations"
"187","37067","copperhead observations"
"188","21151","copperhead observations"
"189","1101","copperhead observations"
"190","22125","copperhead observations"
"191","13295","copperhead observations"
"192","28061","copperhead observations"
"193","10003","copperhead observations"
"194","22067","copperhead observations"
"195","54055","copperhead observations"
"196","21057","copperhead observations"
"197","42043","copperhead observations"
"198","1105","copperhead observations"
"199","34039","copperhead observations"
"200","37151","copperhead observations"
"201","24013","copperhead observations"
"202","21009","copperhead observations"
"203","47139","copperhead observations"
"204","13195","copperhead observations"
"205","51111","copperhead observations"
"206","51177","copperhead observations"
"207","47143","copperhead observations"
"208","47141","copperhead observations"
"209","24033","copperhead observations"
"210","29139","copperhead observations"
"211","51139","copperhead observations"
"212","51143","copperhead observations"
"213","54071","copperhead observations"
"214","42055","copperhead observations"
"215","47005","copperhead observations"
"216","18119","copperhead observations"
"217","47187","copperhead observations"
"218","24025","copperhead observations"
"219","29009","copperhead observations"
"220","47047","copperhead observations"
"221","29189","copperhead observations"
"222","42129","copperhead observations"
"223","39167","copperhead observations"
"224","29035","copperhead observations"
"225","37027","copperhead observations"
"226","37157","copperhead observations"
"227","24005","copperhead observations"
"228","51003","copperhead observations"
"229","1051","copperhead observations"
"230","34037","copperhead observations"
"231","47135","copperhead observations"
"232","29183","copperhead observations"
"233","36071","copperhead observations"
"234","45003","copperhead observations"
"235","51163","copperhead observations"
"236","37087","copperhead observations"
"237","21189","copperhead observations"
"238","1065","copperhead observations"
"239","13123","copperhead observations"
"240","47185","copperhead observations"
"241","39001","copperhead observations"
"242","28085","copperhead observations"
"243","54061","copperhead observations"
"244","37111","copperhead observations"
"245","42027","copperhead observations"
"246","5083","copperhead observations"
"247","24037","copperhead observations"
"248","21073","copperhead observations"
"249","5107","copperhead observations"
"250","45059","copperhead observations"
"251","5027","copperhead observations"
"252","5009","copperhead observations"
"253","9110","copperhead observations"
"254","36087","copperhead observations"
"255","22021","copperhead observations"
"256","40101","copperhead observations"
"257","5129","copperhead observations"
"258","47113","copperhead observations"
"259","24003","copperhead observations"
"260","21111","copperhead observations"
"261","18019","copperhead observations"
"262","24001","copperhead observations"
"263","21199","copperhead observations"
"264","42079","copperhead observations"
"265","21125","copperhead observations"
"266","54035","copperhead observations"
"267","42061","copperhead observations"
"268","37097","copperhead observations"
"269","51075","copperhead observations"
"270","28033","copperhead observations"
"271","13111","copperhead observations"
"272","21237","copperhead observations"
"273","47161","copperhead observations"
"274","5095","copperhead observations"
"275","1119","copperhead observations"
"276","5033","copperhead observations"
"277","51165","copperhead observations"
"278","5061","copperhead observations"
"279","22029","copperhead observations"
"280","51025","copperhead observations"
"281","40113","copperhead observations"
"282","29161","copperhead observations"
"283","48257","copperhead observations"
"284","34019","copperhead observations"
"285","13157","copperhead observations"
"286","29153","copperhead observations"
"287","51179","copperhead observations"
"288","18077","copperhead observations"
"289","21227","copperhead observations"
"290","29131","copperhead observations"
"291","29225","copperhead observations"
"292","29023","copperhead observations"
"293","21203","copperhead observations"
"294","5111","copperhead observations"
"295","47037","copperhead observations"
"296","21143","copperhead observations"
"297","21157","copperhead observations"
"298","51161","copperhead observations"
"299","9190","copperhead observations"
"300","29029","copperhead observations"
"301","20149","copperhead observations"
"302","47053","copperhead observations"
"303","21067","copperhead observations"
"304","29169","copperhead observations"
"305","54041","copperhead observations"
"306","29101","copperhead observations"
"307","29109","copperhead observations"
"308","51105","copperhead observations"
"309","5071","copperhead observations"
"310","47007","copperhead observations"
"311","37149","copperhead observations"
"312","29083","copperhead observations"
"313","42107","copperhead observations"
"314","5135","copperhead observations"
"315","54023","copperhead observations"
"316","21221","copperhead observations"
"317","47133","copperhead observations"
"318","29187","copperhead observations"
"319","1001","copperhead observations"
"320","47013","copperhead observations"
"321","29167","copperhead observations"
"322","29113","copperhead observations"
"323","47173","copperhead observations"
"324","47001","copperhead observations"
"325","51033","copperhead observations"
"326","47137","copperhead observations"
"327","42075","copperhead observations"
"328","13245","copperhead observations"
"329","29186","copperhead observations"
"330","29105","copperhead observations"
"331","36079","copperhead observations"
"332","47079","copperhead observations"
"333","54077","copperhead observations"
"334","28117","copperhead observations"
"335","42071","copperhead observations"
"336","51069","copperhead observations"
"337","51141","copperhead observations"
"338","42111","copperhead observations"
"339","18121","copperhead observations"
"340","34035","copperhead observations"
"341","51045","copperhead observations"
"342","47041","copperhead observations"
"343","18101","copperhead observations"
"344","29181","copperhead observations"
"345","22065","copperhead observations"
"346","29229","copperhead observations"
"347","39127","copperhead observations"
"348","28011","copperhead observations"
"349","37115","copperhead observations"
"350","13285","copperhead observations"
"351","29065","copperhead observations"
"352","29157","copperhead observations"
"353","37039","copperhead observations"
"354","29011","copperhead observations"
"355","42063","copperhead observations"
"356","21173","copperhead observations"
"357","54089","copperhead observations"
"358","54097","copperhead observations"
"359","21029","copperhead observations"
"360","1043","copperhead observations"
"361","51067","copperhead observations"
"362","18071","copperhead observations"
"363","5121","copperhead observations"
"364","54095","copperhead observations"
"365","54085","copperhead observations"
"366","28001","copperhead observations"
"367","22037","copperhead observations"
"368","28163","copperhead observations"
"369","47093","copperhead observations"
"370","28015","copperhead observations"
"371","21079","copperhead observations"
"372","51063","copperhead observations"
"373","28049","copperhead observations"
"374","42003","copperhead observations"
"375","20111","copperhead observations"
"376","37069","copperhead observations"
"377","54005","copperhead observations"
"378","21235","copperhead observations"
"379","5089","copperhead observations"
